Value,MODLAND,Data Quality flag,Emis Error flag,LST Error Flag
0,"LST produced, good quality, not necessary to examine more detailed QA",Good data quality,Average emissivity error <= 0.01,Average LST error <= 1K
2,LST not produced due to cloud effects,Good data quality,Average emissivity error <= 0.01,Average LST error <= 1K
3,LST not produced primarily due to reasons other than cloud,Good data quality,Average emissivity error <= 0.01,Average LST error <= 1K
8,"LST produced, good quality, not necessary to examine more detailed QA",TBD,Average emissivity error <= 0.01,Average LST error <= 1K
17,"LST produced, other quality, recommend examination of more detailed QA",Good data quality,Average emissivity error <= 0.02,Average LST error <= 1K
25,"LST produced, other quality, recommend examination of more detailed QA",TBD,Average emissivity error <= 0.02,Average LST error <= 1K
65,"LST produced, other quality, recommend examination of more detailed QA",Good data quality,Average emissivity error <= 0.01,Average LST error <= 2K
73,"LST produced, other quality, recommend examination of more detailed QA",TBD,Average emissivity error <= 0.01,Average LST error <= 2K
81,"LST produced, other quality, recommend examination of more detailed QA",Good data quality,Average emissivity error <= 0.02,Average LST error <= 2K
89,"LST produced, other quality, recommend examination of more detailed QA",TBD,Average emissivity error <= 0.02,Average LST error <= 2K
129,"LST produced, other quality, recommend examination of more detailed QA",Good data quality,Average emissivity error <= 0.01,Average LST error <= 3K
137,"LST produced, other quality, recommend examination of more detailed QA",TBD,Average emissivity error <= 0.01,Average LST error <= 3K
145,"LST produced, other quality, recommend examination of more detailed QA",Good data quality,Average emissivity error <= 0.02,Average LST error <= 3K
153,"LST produced, other quality, recommend examination of more detailed QA",TBD,Average emissivity error <= 0.02,Average LST error <= 3K
